,modified_label,likeNum,commentNum,contentsNum,totalVisits,totalNeighbor,img_count,hashtag_counts,text_sentence_counts,title_length,title_word_counts,text_length,text_word_counts,average_visits
0,0,21,3,1540,1266977,3680,14,9,45,40,9,3356,787,822.7123376623376
1,0,20,9,845,1415301,3199,18,8,127,28,6,1987,448,1674.912426035503
2,0,12,4,972,765463,2325,16,16,75,32,7,956,202,787.5133744855967
3,0,31,2,1250,1212441,3767,15,8,40,19,4,1020,246,969.9528
4,0,6,4,77,82712,159,14,12,74,44,9,1458,297,1074.1818181818182
5,0,90,84,490,1246742,1972,20,5,144,32,8,2749,615,2544.3714285714286
6,0,50,11,1416,5413958,6935,26,17,143,24,7,2925,717,3823.4166666666665
7,1,32,18,782,969068,889,30,15,161,33,5,2816,570,1239.2173913043478
8,0,77,46,5944,23715254,11996,35,7,197,31,7,2587,590,3989.7802826379543
9,0,39,71,2160,2442822,1931,40,11,98,28,7,2961,644,1130.9361111111111
10,0,66,18,870,6424121,6384,22,4,93,34,9,1918,412,7384.047126436782
11,0,7,3,2085,1574047,1246,27,30,112,38,8,2548,598,754.9386091127099
12,0,14,4,1068,3295645,2234,27,10,121,21,6,2321,512,3085.809925093633
13,0,14,1,132,127804,571,12,9,86,30,8,1407,329,968.2121212121212
14,0,17,8,1456,3737910,1709,20,7,52,33,5,1131,236,2567.245879120879
15,0,243,251,241,1025533,5439,19,10,140,41,10,3089,702,4255.323651452282
16,0,73,41,241,1133642,3991,20,10,78,35,9,2162,459,4703.908713692946
17,0,22,3,1415,5413909,6935,31,9,145,20,6,2666,632,3826.0840989399294
18,0,38,17,941,3496666,4460,21,12,78,40,6,1380,293,3715.90435706695
19,0,1,1,15482,7013648,4331,27,21,79,19,5,949,195,453.01950652370493
20,0,12,16,1777,5553368,2259,27,8,79,24,5,1563,372,3125.1367473269556
21,0,36,11,1036,1396171,3953,11,10,41,27,6,906,196,1347.6554054054054
22,0,57,60,321,442868,2551,5,21,22,21,3,1011,207,1379.651090342679
23,0,12,8,795,1306901,1384,24,11,20,25,6,531,127,1643.9006289308177
24,0,36,11,585,969793,2503,14,3,65,25,5,1081,259,1657.765811965812
25,0,7,3,305,866025,450,16,8,71,29,6,1124,239,2839.4262295081967
26,0,23,16,549,1152593,1346,13,5,85,37,9,1515,377,2099.440801457195
